Название,Автор,Рейтинг,Прочитали,Хотят прочитать,Рецензии,Цитаты
Бэла,Михаил Лермонтов,Нет рейтинга,120,120,4,0
Доктор Паскаль,Эмиль Золя,Нет рейтинга,414,406,28,68
Простаки за границей,Марк Твен,Нет рейтинга,359,335,25,164
Казахские мифы,Автор не указан,Нет рейтинга,19,19,0,0
Мифы западных славян,Автор не указан,Нет рейтинга,5,5,0,0
Север и юг,Элизабет Гаскелл,Нет рейтинга,10K,9K,742,1K
Маленькая принцесса,Фрэнсис Элиза Бёрнетт,Нет рейтинга,4K,4K,210,177
Сказание о Ёсицунэ,Автор не указан,Нет рейтинга,140,137,17,19
Смерть бродит по лесу,Сирил Хейр,Нет рейтинга,106,106,18,33
Гранатовый браслет (сборник),Александр Куприн,Нет рейтинга,22,22,613,565
Дело «Тысячи и одной ночи» (сборник),Джон Диксон Карр,Нет рейтинга,8,8,19,12
Сто лет одиночества,Габриэль Гарсиа Маркес,Нет рейтинга,53K,49K,1K,1K
У подножия вулкана,Малькольм Лаури,Нет рейтинга,207,186,19,112
Ставок больше нет,Жан-Поль Сартр,Нет рейтинга,5K,5K,177,79
Граф Монте-Кристо. Том 2,Александр Дюма,Нет рейтинга,12K,11K,159,2K
Далекий край. Первое открытие (сборник),Николай Задорнов,Нет рейтинга,25,25,25,4
Демиан,Герман Гессе,Нет рейтинга,17K,17K,408,801
Эроусмит,Синклер Льюис,Нет рейтинга,498,471,56,151
Когда спящий проснется,Герберт Уэллс,Нет рейтинга,1K,1K,64,60
Мальчик у Христа на елке и другие рассказы,Фёдор Достоевский,Нет рейтинга,14,14,1,0
"Забытая Тэффи. О «Титанике», кометах, гадалках, весне и конце света",Тэффи,Нет рейтинга,32,31,3,10
Чертова кукла,Зинаида Гиппиус,Нет рейтинга,148,143,8,48
Остров привидений,Артур Конан Дойл,Нет рейтинга,54,54,3,0
Вендиго,Элджернон Блэквуд,Нет рейтинга,154,150,61,82
"Лисьи чары, или Легенды об оборотнях (сборник)",Пу Сунлин,Нет рейтинга,7,6,2,1
Мертвая комната,Уилки Коллинз,Нет рейтинга,1K,1K,55,41
"Маленький человек, что же дальше?",Ганс Фаллада,Нет рейтинга,335,330,43,60
Мимочка,Вера Микулич,Нет рейтинга,20,20,2,2
Куртизанка Сонника,Висенте Бласко Ибаньес,Нет рейтинга,11,11,4,5
Каббала,Торнтон Уайлдер,Нет рейтинга,245,239,21,39
Легенды о любви и гибели. Древние предания и их история в мировом фольклоре,Виктория Ли,Нет рейтинга,9,9,2,0
Злые духи. Гнев Диониса. Рассказы (сборник),Евдокия Нагродская,Нет рейтинга,3,2,6,28
Мифы о животных и мифических существах,М.В. Юрьева,Нет рейтинга,1,1,0,0
Сон в красном тереме. Том 1,Цао Сюэцинь,Нет рейтинга,126,118,7,17
Заповедник,Сергей Довлатов,Нет рейтинга,11K,11K,312,729
Остров Сокровищ. Черная стрела. Похищенный. Катриона (сборник),Роберт Льюис Стивенсон,Нет рейтинга,24,22,506,289
Вечер у Клэр,Гайто Газданов,Нет рейтинга,2K,2K,79,128
Нортенгерское аббатство,Джейн Остин,Нет рейтинга,13K,13K,504,564
Король Артур и история бриттов,Гальфрид Монмутский,Нет рейтинга,0,0,0,0
Вечеринка в саду (сборник),Кэтрин Мэнсфилд,Нет рейтинга,2,2,10,5
Дженни Герхардт,Теодор Драйзер,Нет рейтинга,8K,8K,331,404
На вилле,Сомерсет Моэм,Нет рейтинга,4K,4K,175,232
Хоббит,Джон Р. Р. Толкин,Нет рейтинга,50K,49K,817,746
Черная пантера (сборник),А. Мирэ,Нет рейтинга,6,4,0,0
